video_id,video_relpath,factual_caption
v_BalanceBeam_g02_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g02_c03.avi,a video of balancebeam
v_BalanceBeam_g24_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g24_c03.avi,a video of balancebeam
v_BalanceBeam_g12_c04,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g12_c04.avi,a video of balancebeam
v_BalanceBeam_g03_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g03_c01.avi,a video of balancebeam
v_BalanceBeam_g25_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g25_c01.avi,a video of balancebeam
v_BalanceBeam_g03_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g03_c03.avi,a video of balancebeam
v_BalanceBeam_g10_c04,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g10_c04.avi,a video of balancebeam
v_BalanceBeam_g08_c02,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g08_c02.avi,a video of balancebeam
v_BalanceBeam_g18_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g18_c03.avi,a video of balancebeam
v_BalanceBeam_g01_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g01_c03.avi,a video of balancebeam
v_BalanceBeam_g10_c02,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g10_c02.avi,a video of balancebeam
v_BalanceBeam_g19_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g19_c01.avi,a video of balancebeam
v_BalanceBeam_g08_c04,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g08_c04.avi,a video of balancebeam
v_BalanceBeam_g09_c02,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g09_c02.avi,a video of balancebeam
v_BalanceBeam_g19_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g19_c03.avi,a video of balancebeam
v_BalanceBeam_g05_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g05_c01.avi,a video of balancebeam
v_BalanceBeam_g15_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g15_c03.avi,a video of balancebeam
v_BalanceBeam_g05_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g05_c03.avi,a video of balancebeam
v_BalanceBeam_g04_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g04_c03.avi,a video of balancebeam
v_BalanceBeam_g14_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g14_c03.avi,a video of balancebeam
v_BalanceBeam_g23_c04,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g23_c04.avi,a video of balancebeam
v_BalanceBeam_g04_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g04_c01.avi,a video of balancebeam
v_BalanceBeam_g14_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g14_c01.avi,a video of balancebeam
v_BalanceBeam_g06_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g06_c03.avi,a video of balancebeam
v_BalanceBeam_g21_c05,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g21_c05.avi,a video of balancebeam
v_BalanceBeam_g06_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g06_c01.avi,a video of balancebeam
v_BalanceBeam_g06_c05,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g06_c05.avi,a video of balancebeam
v_BalanceBeam_g21_c03,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g21_c03.avi,a video of balancebeam
v_BalanceBeam_g17_c01,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g17_c01.avi,a video of balancebeam
v_BalanceBeam_g07_c02,input/UCF101_subset/train/BalanceBeam/v_BalanceBeam_g07_c02.avi,a video of balancebeam
v_BaseballPitch_g19_c05,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g19_c05.avi,a video of baseballpitch
v_BaseballPitch_g08_c01,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g08_c01.avi,a video of baseballpitch
v_BaseballPitch_g01_c02,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g01_c02.avi,a video of baseballpitch
v_BaseballPitch_g10_c03,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g10_c03.avi,a video of baseballpitch
v_BaseballPitch_g08_c05,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g08_c05.avi,a video of baseballpitch
v_BaseballPitch_g18_c04,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g18_c04.avi,a video of baseballpitch
v_BaseballPitch_g18_c06,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g18_c06.avi,a video of baseballpitch
v_BaseballPitch_g19_c03,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g19_c03.avi,a video of baseballpitch
v_BaseballPitch_g08_c07,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g08_c07.avi,a video of baseballpitch
v_BaseballPitch_g01_c04,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g01_c04.avi,a video of baseballpitch
v_BaseballPitch_g02_c02,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g02_c02.avi,a video of baseballpitch
v_BaseballPitch_g13_c07,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g13_c07.avi,a video of baseballpitch
v_BaseballPitch_g13_c05,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g13_c05.avi,a video of baseballpitch
v_BaseballPitch_g03_c04,input/UCF101_subset/train/BaseballPitch/v_BaseballPitch_g03_c04.avi,a video of baseballpitch
